,Accession number,UniProt Annotation Status,Description,Cluster numbers
5565,A0A200QIC9,TrEMBL,GNAT domain ,36
5566,A0A0S3RTE8,TrEMBL,Uncharacterized protein ,36
5567,A0A173FZV0,TrEMBL,Uncharacterized protein ,36
5568,A0A061EIZ9,TrEMBL,Nuclear shuttle interacting isoform 3 ,36
5569,A0A250XKX4,TrEMBL,Uncharacterized protein ,36
5570,A0A1Z1XAV9,TrEMBL,GCN5-like N-acetyltransferase ,36
5571,A0A1Z1XAB4,TrEMBL,GCN5-like N-acetyltransferase ,36
5572,A0A1Z1MU77,TrEMBL,Uncharacterized protein ,36
5573,A0A096PBC8,TrEMBL,Acyl-CoA N-acyltransferase ,36
5574,A0A1Z1MU08,TrEMBL,Uncharacterized protein ,36
5575,A0A1Z1MRB2,TrEMBL,Uncharacterized protein ,36
5576,A0A1Z1MR88,TrEMBL,Uncharacterized protein ,36
5577,A0A1Z1MN03,TrEMBL,Uncharacterized protein ,36
5578,A0A1Z1MLF9,TrEMBL,Uncharacterized protein ,36
5579,A0A1Z1MK13,TrEMBL,Uncharacterized protein ,36
5580,A0A1Z1MIK8,TrEMBL,Uncharacterized protein ,36
5581,Q85FT0,TrEMBL,GNAT family acetyltransferase ,36
5582,A0A1Z1MFQ3,TrEMBL,Uncharacterized protein ,36
5583,A0A1Z1M989,TrEMBL,Uncharacterized protein ,36
5584,A0A1Z1M1F0,TrEMBL,Uncharacterized protein ,36
5585,A0A1X9PTQ5,TrEMBL,Conserved hypothetical plastid protein ,36
5586,V4S5Z8,TrEMBL,Uncharacterized protein ,36
5587,A9TV44,TrEMBL,Predicted protein ,36
5588,A0A0K9NRU8,TrEMBL,Acetyltransferase NSI ,36
5589,D8UBE9,TrEMBL,Uncharacterized protein ,36
5590,A0A1C9CCK4,TrEMBL,Conserved hypothetical plastid protein ,36
5591,A0A1C9CE05,TrEMBL,GCN5-like N-acetyltransferase ,36
5592,A0A1C9CEG5,TrEMBL,GCN5-like N-acetyltransferase ,36
5593,A0A1C9CG36,TrEMBL,GCN5-like N-acetyltransferase ,36
5594,A0A1C9CHC1,TrEMBL,GCN5-like N-acetyltransferase ,36
5595,A0A1X9PUD2,TrEMBL,Conserved hypothetical plastid protein ,36
5596,W9RFV2,TrEMBL,Putative LRR receptor-like serine/threonine-protein kinase ,36
5597,P51192,SwissProt,Uncharacterized N-acetyltransferase ycf52,36
5598,A0A1D1YDN6,TrEMBL,Acetyltransferase NSI ,36
5599,A0A1R3KNB7,TrEMBL,Uncharacterized protein ,36
5600,I0YR74,TrEMBL,Uncharacterized protein ,36
5601,A0A1D1ZXS0,TrEMBL,Uncharacterized protein ,36
5602,A0A1R3J0W9,TrEMBL,Uncharacterized protein ,36
5603,K8FI12,TrEMBL,GCN5-related N-acetyltransferase ,36
5604,A0A1E5W656,TrEMBL,Putative acetyltransferase NSI ,36
5605,A0A0E0DT40,TrEMBL,Uncharacterized protein ,36
5606,M7Z4J8,TrEMBL,Putative acetyltransferase NSI ,36
5607,A0A0D6R7U4,TrEMBL,Uncharacterized protein ,36
5608,A0A1P8D6P3,TrEMBL,Uncharacterized protein ,36
5609,A0A151R8Y0,TrEMBL,Acetyltransferase NSI ,36
5610,C1EFD1,TrEMBL,Uncharacterized protein ,36
5611,A0A1Q3D3G1,TrEMBL,Acetyltransf_1 domain-containing protein/vATP-synt_E domain-containing protein ,36
5612,A0A061RNP2,TrEMBL,Acetyltransferase nsi ,36
5613,D8SWC0,TrEMBL,Uncharacterized protein ,36
5614,A0A0D3CGU7,TrEMBL,Uncharacterized protein ,36
5615,A0A1C9CB50,TrEMBL,GCN5-like N-acetyltransferase ,36
5616,A0A1C9C8B4,TrEMBL,GCN5-like N-acetyltransferase ,36
5617,E1Z9G2,TrEMBL,Uncharacterized protein ,36
5618,B1X5W2,TrEMBL,Possible acetyltransferase ,36
5619,M4IUW1,TrEMBL,GCN5-like N-acetyltransferase ,36
5620,A0A141SD26,TrEMBL,GCN5-like N-acetyltransferase ,36
5621,A0A1X9PV85,TrEMBL,Conserved hypothetical plastid protein ,36
5622,A0A1X9PVE9,TrEMBL,Conserved hypothetical plastid protein ,36
5623,A0A1B0RRF4,TrEMBL,GCN5-like N-acetyltransferase ,36
5624,A0A1Y1HM33,TrEMBL,Acetyltransferase NSI ,36
5625,A0A068UFG6,TrEMBL,Uncharacterized protein ,36
5626,U5H7A3,TrEMBL,Uncharacterized protein ,37
5627,A0A0C2YYQ7,TrEMBL,Uncharacterized protein ,37
5628,A8NMM8,TrEMBL,Serotonin N-acetyltransferase ,37
5629,A0A0L0DP06,TrEMBL,Arylalkylamine N-acetyltransferase ,37
5630,A0A067M155,TrEMBL,Uncharacterized protein ,37
5631,W4JPP8,TrEMBL,Uncharacterized protein ,37
5632,K5WQP8,TrEMBL,Uncharacterized protein ,37
5633,A0A0C9W4Q4,TrEMBL,Unplaced genomic scaffold SPHSTscaffold_25,37
5634,A0A0D7AK44,TrEMBL,Acyl-CoA N-acyltransferase ,37
5635,A0A0P9ELK8,TrEMBL,Uncharacterized protein ,37
5636,G7EAH1,TrEMBL,Uncharacterized protein ,37
5637,F8PAL2,TrEMBL,Uncharacterized protein ,37
5638,C3Y6T8,TrEMBL,Uncharacterized protein ,37
5639,C3Y3I3,TrEMBL,Uncharacterized protein ,37
5640,A0A097EU64,TrEMBL,Arylalkylamine N-acetyltransferase ,37
5641,A0A0D6ELN7,TrEMBL,SPOSA6832_02607-mRNA-1:cds ,37
5642,A0A0D2NND2,TrEMBL,Uncharacterized protein ,37
5643,C3Y6T7,TrEMBL,Uncharacterized protein ,37
5644,A0A1C7MLI1,TrEMBL,Putative N-acetyltransferase C9 2c ,37
5645,B3RWU1,TrEMBL,Uncharacterized protein ,37
5646,B3RWT9,TrEMBL,Uncharacterized protein ,37
5647,A0A0C2YRG8,TrEMBL,Uncharacterized protein ,37
5648,F4S3D6,TrEMBL,Uncharacterized protein ,37
5649,A0A067PD96,TrEMBL,Uncharacterized protein ,37
5650,V9LHB6,TrEMBL,Uncharacterized protein ,37
5651,K5VM27,TrEMBL,Uncharacterized protein ,37
5652,A0A1S3K3J4,TrEMBL,serotonin N-acetyltransferase-like ,37
5653,A0A0L6WK05,TrEMBL,Uncharacterized protein ,37
5654,V2WVX6,TrEMBL,Acyl-CoAN-acyltransferase ,37
5655,A0A0L6VNY5,TrEMBL,Uncharacterized protein ,37
5656,A0A067SH36,TrEMBL,Uncharacterized protein ,37
5657,K5X590,TrEMBL,Uncharacterized protein ,37
5658,A0A0L0VK52,TrEMBL,Uncharacterized protein ,37
5659,A0A0H2S958,TrEMBL,Acyl-CoA N-acyltransferase ,37
5660,W6SQY3,TrEMBL,Non-vertebrate-type arylalkylamine N-acetyltransferase ,37
5661,U9UD00,TrEMBL,Acyl-CoA N-acyltransferase ,37
5662,A0A197K6N2,TrEMBL,Acyl-CoA N-acyltransferase ,37
5664,A0A066VYY0,TrEMBL,Uncharacterized protein ,37
5665,A0A0P1BRU0,TrEMBL,Arylalkylamine N-acetyltransferase ,37
5666,A0A109FD51,TrEMBL,Acyl-CoA N-acyltransferase ,37
5667,A0A146IM46,TrEMBL,Uncharacterized protein ,37
5668,A0A1Y2J6W7,TrEMBL,Acyl-CoA N-acyltransferase ,37
5669,R7VI42,TrEMBL,Uncharacterized protein ,37
5670,I2G3V0,TrEMBL,Uncharacterized protein ,37
5671,R7UAL3,TrEMBL,Uncharacterized protein ,37
5672,A0A067NHW0,TrEMBL,Uncharacterized protein ,37
5673,S8EKV5,TrEMBL,Uncharacterized protein ,37
5674,A0A0C3QRF6,TrEMBL,Uncharacterized protein ,37
5675,S7PW82,TrEMBL,Acyl-CoA N-acyltransferase ,37
5676,A0A165SS49,TrEMBL,Mss4-like protein ,37
5677,A0A139A1M6,TrEMBL,Acyl-CoA N-acyltransferase ,37
5678,A0A1Y0BU67,TrEMBL,Arylalkylamine N-acetyltransferase ,37
5679,A0A0C3PUH7,TrEMBL,Uncharacterized protein ,37
5680,A0A137QEL0,TrEMBL,Uncharacterized protein ,37
5681,A0A137Q3U6,TrEMBL,Uncharacterized protein ,37
5682,A0A210PNP5,TrEMBL,N-acetyltransferase C9 2c ,37
5683,A0A166D5E3,TrEMBL,Acyl-CoA N-acyltransferase ,37
5684,A0A061ADP0,TrEMBL,RHTO0S01e03950g1_1 ,37
5685,A0A166II95,TrEMBL,Acyl-CoA N-acyltransferase ,37
5686,A0A1X6NPG4,TrEMBL,Uncharacterized protein ,37
5687,A0A1X6N0B1,TrEMBL,Uncharacterized protein ,37
5688,A0A165E7L6,TrEMBL,Acyl-CoA N-acyltransferase ,37
5689,A0A165CWT5,TrEMBL,Acyl-CoA N-acyltransferase ,37
5690,A0A166PZ25,TrEMBL,Acyl-CoA N-acyltransferase ,37
5691,A0A1Y2G008,TrEMBL,Mss4-like protein ,37
5692,M2QWM0,TrEMBL,Uncharacterized protein ,37
5693,A0A0C3CGF0,TrEMBL,Uncharacterized protein ,37
5694,A0A0C3D1N8,TrEMBL,Uncharacterized protein ,37
5695,A0A061S597,TrEMBL,Arylalkylamine n-acetyltransferase ,37
5696,A0A1Y2GPA1,TrEMBL,Uncharacterized protein ,37
5697,A0A1Y1W897,TrEMBL,Acyl-CoA N-acyltransferase ,37
5698,A0A1Y1YNZ2,TrEMBL,Acyl-CoA N-acyltransferase ,37
5699,D8QJY5,TrEMBL,Uncharacterized protein ,37
5700,J4H446,TrEMBL,Uncharacterized protein ,37
5701,A0A1E3QEV9,TrEMBL,Uncharacterized protein ,38
5702,A0A1A7MK87,TrEMBL,Carboxypeptidase ,38
5703,A0A1J7IMF8,TrEMBL,Acyl-CoA N-acyltransferase ,38
5704,A0A1X7RJP3,TrEMBL,Uncharacterized protein ,38
5705,M7UQZ6,TrEMBL,Putative gnat family acetyltransferase protein ,38
5706,A0A1Y2DAQ3,TrEMBL,Uncharacterized protein ,38
5707,A0A1L9WFZ2,TrEMBL,Uncharacterized protein ,38
5708,A0A094ECT7,TrEMBL,Uncharacterized protein ,38
5709,A0A1J7ICT5,TrEMBL,Uncharacterized protein ,38
5710,W3X4T4,TrEMBL,Uncharacterized protein ,38
5711,A0A0L0N6Q6,TrEMBL,Uncharacterized protein ,38
5712,A0A066XQI7,TrEMBL,Putative acetyltransferase ,38
5713,R8BDK4,TrEMBL,Putative fumarylacetoacetase protein ,38
5714,A0A194V5N3,TrEMBL,Uncharacterized protein ,38
5715,A0A136JKK2,TrEMBL,Acyl-CoA N-acyltransferase ,38
5716,A0A0L1IUV1,TrEMBL,Uncharacterized protein ,38
5717,A0A194VQ63,TrEMBL,Uncharacterized protein ,38
5718,A0A1T3D1F1,TrEMBL,GCN5-related acetyltransferase ,38
5719,A0A0F7ZRX6,TrEMBL,Uncharacterized protein ,38
5720,A0A074W8V8,TrEMBL,Uncharacterized protein ,38
5721,A0A1S8B574,TrEMBL,Uncharacterized protein ,38
5722,A0A0A1THS9,TrEMBL,Uncharacterized protein ,38
5723,A0A0B7K9V7,TrEMBL,Uncharacterized protein ,38
5724,A0A0F7ZNV1,TrEMBL,Uncharacterized protein ,38
5725,A0A1F8A2D9,TrEMBL,Uncharacterized protein ,38
5726,A0A165GBC3,TrEMBL,Uncharacterized protein ,38
5727,W7MJG5,TrEMBL,Uncharacterized protein ,38
5728,B2WGT9,TrEMBL,Uncharacterized protein ,38
5729,A0A1G4BNT3,TrEMBL,Acetyltransferase ,38
5730,A0A1B8AY20,TrEMBL,Uncharacterized protein ,38
5731,A0A1Y2TY84,TrEMBL,Acyl-CoA N-acyltransferase ,38
5732,A0A0C3CUH5,TrEMBL,Uncharacterized protein ,38
5733,L2FG24,TrEMBL,GNAT family acetyltransferase ,38
5734,F0X9Q2,TrEMBL,Gcn5-related n-acetyltransferase ,38
5735,R8B918,TrEMBL,Putative gcn5-related n-acetyltransferase protein ,38
5736,A0A0A1TH05,TrEMBL,Uncharacterized protein ,38
5737,A0A1Q8RS41,TrEMBL,Uncharacterized protein ,38
5740,A0A1J7J124,TrEMBL,Acetyltransferase ,38
5741,A0A074W1J5,TrEMBL,Uncharacterized protein ,38
5742,A0A1B7Y2S5,TrEMBL,Acetyltransferase ,38
5743,W3XDB8,TrEMBL,Uncharacterized protein ,38
5744,L2GD15,TrEMBL,Gcn5-related n-acetyltransferase ,38
5745,A0A0A1SWV2,TrEMBL,Uncharacterized protein ,38
5746,A0A0U1M0C6,TrEMBL,Uncharacterized protein ,38
5747,G2RD37,TrEMBL,Uncharacterized protein ,38
5748,A0A135LYC6,TrEMBL,Acyl-CoA N-acyltransferase ,38
5749,A0A1Y2X3W7,TrEMBL,Uncharacterized protein ,38
5750,A0A074YZD0,TrEMBL,Uncharacterized protein ,38
5752,A0A177C786,TrEMBL,Uncharacterized protein ,38
5753,A0A167NZF2,TrEMBL,Acyl-CoA N-acyltransferase ,38
5754,A0A179HAX9,TrEMBL,Acetyltransferase (GNAT) family domain-containing protein ,38
5755,A0A1V6RMR4,TrEMBL,Uncharacterized protein ,38
5756,A0A117E4R2,TrEMBL,Uncharacterized protein ,38
5757,A0A179FL86,TrEMBL,Acetyltransferase (GNAT) family domain-containing protein ,38
5758,A0A0P7AB77,TrEMBL,Uncharacterized protein ,38
5759,A0A010SAP3,TrEMBL,Uncharacterized protein ,38
5760,A0A1L9SD94,TrEMBL,Uncharacterized protein ,38
5761,A0A225B741,TrEMBL,Uncharacterized protein ,38
5762,A0A1L9RHY9,TrEMBL,Uncharacterized protein ,38
5764,A0A1V8UXL6,TrEMBL,Uncharacterized protein ,38
5765,A0A1V1TDF4,TrEMBL,Uncharacterized protein ,38
5766,A0A1U8QM09,TrEMBL,Uncharacterized protein ,38
5767,T0KSY7,TrEMBL,Acetyltransferase ,38
5768,A0A1Y2W619,TrEMBL,Uncharacterized protein ,38
5769,A0A167D492,TrEMBL,Gnat family acetyltransferase protein ,38
5770,C4JFK0,TrEMBL,Uncharacterized protein ,39
5771,V9DEL1,TrEMBL,Uncharacterized protein ,39
5772,A0A094CK03,TrEMBL,Uncharacterized protein ,39
5773,A0A093XWM2,TrEMBL,Uncharacterized protein ,39
5774,G9P0X8,TrEMBL,Uncharacterized protein ,39
5775,W9Z266,TrEMBL,Uncharacterized protein ,39
5776,A0A136IZR8,TrEMBL,Acyl-CoA N-acyltransferase ,39
5777,B2W409,TrEMBL,Uncharacterized protein ,39
5778,A0A0G4MBX5,TrEMBL,Uncharacterized protein ,39
5779,H6C425,TrEMBL,Uncharacterized protein ,39
5780,A0A139ICV0,TrEMBL,Uncharacterized protein ,39
5781,A0A1B8B097,TrEMBL,Uncharacterized protein ,39
5782,J5JLU0,TrEMBL,GNAT family acetyltransferase,39
5783,A0A093X618,TrEMBL,Uncharacterized protein ,39
5784,A0A0P7B851,TrEMBL,Uncharacterized protein ,39
5785,A0A179GDP3,TrEMBL,GNAT family acetyltransferase ,39
5786,W2S743,TrEMBL,Uncharacterized protein ,39
5787,U1G9U9,TrEMBL,Uncharacterized protein ,39
5788,A0A163M0T7,TrEMBL,Uncharacterized protein ,39
5789,A0A178B245,TrEMBL,Uncharacterized protein ,39
5790,A0A1V8UGN2,TrEMBL,Uncharacterized protein ,39
5791,A0A178CNE1,TrEMBL,Uncharacterized protein ,39
5792,A0A178DV08,TrEMBL,Acyl-CoA N-acyltransferase ,39
5793,R7YYR2,TrEMBL,Uncharacterized protein ,39
5794,A0A0D2I5P8,TrEMBL,Rhinocladiella mackenziei CBS 650.93 unplaced genomic scaffold supercont1.8,39
5795,A0A136IPX1,TrEMBL,Uncharacterized protein ,39
5796,E5A682,TrEMBL,Uncharacterized protein ,39
5797,W9XU67,TrEMBL,Uncharacterized protein ,39
5798,R7YYN6,TrEMBL,Uncharacterized protein ,39
5799,A0A1V8V5T8,TrEMBL,Uncharacterized protein ,39
5800,A0A178ER73,TrEMBL,Uncharacterized protein ,39
5801,A0A166Y2A5,TrEMBL,Acyl-CoA N-acyltransferase ,39
5802,A0A0D1Y7H5,TrEMBL,Uncharacterized protein ,39
5803,A0A150V5Q6,TrEMBL,Uncharacterized protein ,39
5804,W9YKJ8,TrEMBL,Uncharacterized protein ,39
5805,A0A1Y1ZMG2,TrEMBL,Acyl-CoA N-acyltransferase ,39
5806,A0A074Y0J3,TrEMBL,Uncharacterized protein ,39
5807,Q0U462,TrEMBL,Uncharacterized protein ,39
5808,A0A0D2AU18,TrEMBL,Uncharacterized protein ,39
5809,M3AM21,TrEMBL,Uncharacterized protein ,39
5810,A0A1X7S4Z1,TrEMBL,Uncharacterized protein ,39
5811,W2RQP2,TrEMBL,Uncharacterized protein ,39
5812,A0A094ECI7,TrEMBL,Uncharacterized protein ,39
5813,G2XDQ1,TrEMBL,Uncharacterized protein ,39
5814,A0A194VSG8,TrEMBL,Putative N-acetyltransferase YvbK ,39
5815,M3DB40,TrEMBL,Uncharacterized protein ,39
5816,A0A094I7R7,TrEMBL,Uncharacterized protein ,39
5817,A0A1Y2A2U1,TrEMBL,Acyl-CoA N-acyltransferase ,39
5818,A0A0B4HU72,TrEMBL,Acyl-CoA N-acyltransferase ,39
5819,A0A177DKR3,TrEMBL,Acyl-CoA N-acyltransferase ,39
5820,A0A0N1HFS3,TrEMBL,Uncharacterized protein ,39
5821,V5G7P0,TrEMBL,Uncharacterized protein ,39
5822,A0A074Y9X8,TrEMBL,Uncharacterized protein ,39
5823,A0A1Y1ZH75,TrEMBL,Uncharacterized protein ,39
5824,E3RGB1,TrEMBL,Uncharacterized protein ,39
5825,F9GFI5,TrEMBL,Uncharacterized protein ,39
5826,A0A1Y2LSX7,TrEMBL,Uncharacterized protein ,39
5827,W6YFB2,TrEMBL,Uncharacterized protein ,39
5828,A0A1Y2M2J6,TrEMBL,Uncharacterized protein ,39
5829,A0A1Z5TGW9,TrEMBL,Uncharacterized protein ,39
5830,J3KIC7,TrEMBL,Uncharacterized protein ,39
5831,A0A1Y2DL31,TrEMBL,Acyl-CoA N-acyltransferase ,39
5832,A0A093ZXR4,TrEMBL,Uncharacterized protein ,39
5833,A0A072PT02,TrEMBL,Uncharacterized protein ,39
5835,A0A136JCT8,TrEMBL,Acyl-CoA N-acyltransferase ,39
5836,A0A0N0NK84,TrEMBL,Uncharacterized protein ,39
5837,B8M4K9,TrEMBL,Beta-N-acetylglucosaminidase,40
5838,B8M1A9,TrEMBL,Uncharacterized protein ,40
5839,A0A0F4Z242,TrEMBL,Beta-N-acetylhexosaminidase ,40
5840,A0A1Y1YSR1,TrEMBL,Glycoside hydrolase ,40
5841,A0A1Y2AN29,TrEMBL,Uncharacterized protein ,40
5842,A0A1E1MM57,TrEMBL,Uncharacterized protein ,40
5843,W9XZZ2,TrEMBL,Murein transglycosylase ,40
5844,A0A0U1LU11,TrEMBL,Beta-N-acetylhexosaminidase ,40
5845,A0A1E4TAT3,TrEMBL,Glycoside hydrolase family 3 protein ,40
5846,A0A1E1L4U7,TrEMBL,Uncharacterized protein ,40
5847,A0A162I8L0,TrEMBL,Beta-glucosidase ,40
5848,A0A0E9NGU0,TrEMBL,Uncharacterized protein ,40
5849,A0A225AUI7,TrEMBL,Uncharacterized protein ,40
5850,A0A1Q5QBC5,TrEMBL,Uncharacterized protein ,40
5851,A0A0U1LVG5,TrEMBL,Beta-N-acetylhexosaminidase ,40
5852,A0A1X2INS8,TrEMBL,Glycoside hydrolase superfamily ,40
5853,S3CU16,TrEMBL,Acyl-CoA N-acyltransferases (Nat) ,40
5854,A0A167PM98,TrEMBL,Glycoside hydrolase family 3 protein ,40
5855,A0A261Y0E8,TrEMBL,Uncharacterized protein ,40
5856,A0A0K8LB26,TrEMBL,Uncharacterized lipoprotein YbbD ,40
5857,F9F7E0,TrEMBL,Uncharacterized protein ,40
5858,A0A1X2H9F4,TrEMBL,Glycoside hydrolase superfamily ,40
5859,K1VCD3,TrEMBL,Uncharacterized protein ,40
5860,S8AUP8,TrEMBL,Putative beta-N-acetylhexosaminidase ,40
5861,A0A0N8H803,TrEMBL,Uncharacterized protein ,40
5862,R1EZ11,TrEMBL,Putative gnat family protein ,40
5863,K1X6Y9,TrEMBL,Beta-N-acetylglucosaminidase ,40
5864,A0A194XIW0,TrEMBL,Putative beta-N-acetylglucosaminidase ,40
5865,A0A084R4N2,TrEMBL,Uncharacterized protein ,40
5866,S8AFQ9,TrEMBL,Uncharacterized protein ,40
5867,V9M3A9,TrEMBL,N-acetyl-beta-D glucosaminidase ,40
5868,G1X9N9,TrEMBL,Uncharacterized protein ,40
5869,Q5B9B0,TrEMBL,Beta-N-acetylglucosaminidase,40
5870,A0A094GRU3,TrEMBL,Uncharacterized protein ,40
5871,A0A0J1B1T4,TrEMBL,Uncharacterized protein ,40
5872,A0A0I9XP77,TrEMBL,Uncharacterized protein ,40
5873,A0A0H1BL36,TrEMBL,Uncharacterized protein ,40
5874,A0A1V6V970,TrEMBL,Uncharacterized protein ,40
5875,I1CDE9,TrEMBL,Uncharacterized protein ,40
5876,A0A0A1ML18,TrEMBL,Glycoside hydrolase ,40
5877,A0A1Y1UD56,TrEMBL,Uncharacterized protein ,40
5878,A0A098DPA1,TrEMBL,Uncharacterized protein ,40
5879,A0A1V6TQM8,TrEMBL,Uncharacterized protein ,40
5880,A0A0B7KA39,TrEMBL,Uncharacterized protein ,40
5881,A0A178F0V1,TrEMBL,Uncharacterized protein ,40
5882,A0A1C7N8X7,TrEMBL,Uncharacterized protein ,40
5883,A0A178FR40,TrEMBL,Uncharacterized protein ,40
5884,A0A0G2IAC1,TrEMBL,Uncharacterized protein ,40
5885,A0A100I951,TrEMBL,Succinate dehydrogenase [ubiquinone] flavoprotein subunit,40
5886,A0A068SCB0,TrEMBL,Beta-n-acetylglucosaminidase ,40
5887,A0A168IF75,TrEMBL,Glycoside hydrolase family 3 protein ,40
5888,Q0CNK5,TrEMBL,Uncharacterized protein ,40
5889,K2RYU0,TrEMBL,Uncharacterized protein ,40
5890,A0A1B8D1A5,TrEMBL,Uncharacterized protein ,40
5891,A0A163MBJ9,TrEMBL,Uncharacterized protein ,40
5892,A0A0U5G8E8,TrEMBL,Uncharacterized protein ,40
5893,A0A0L1J7N6,TrEMBL,Beta-N-acetylglucosaminidase ,40
5894,M3HFC4,TrEMBL,Beta-n-acetylglucosaminidase,40
5895,C4JZX3,TrEMBL,Uncharacterized protein ,40
5896,A0A1L9TNQ6,TrEMBL,Uncharacterized protein ,40
5897,D5GAE2,TrEMBL,Uncharacterized protein ,40
5899,A0A1F7ZM63,TrEMBL,Uncharacterized protein ,40
5900,A0A1L9X9U1,TrEMBL,Uncharacterized protein ,40
5901,A0A1L7X8H4,TrEMBL,Uncharacterized protein ,40
5902,A0A0C3GXI2,TrEMBL,Glycoside hydrolase family 3 protein ,40
5903,A0A1J9R0B1,TrEMBL,Uncharacterized protein ,40
5904,A0A1L9VNL3,TrEMBL,Uncharacterized protein ,40
5905,A0A1L9SWH1,TrEMBL,Uncharacterized protein ,40
5906,A0A1J9SAA2,TrEMBL,Uncharacterized protein ,40
5907,A0A179FJK1,TrEMBL,GCN5-related N-acetyltransferase (GNAT) domain-containing protein ,41
5908,A0A1Y2W2N1,TrEMBL,Uncharacterized protein ,41
5909,K9G319,TrEMBL,Uncharacterized protein ,41
5910,A0A194UZK7,TrEMBL,Uncharacterized protein ,41
5911,A0A167WFB8,TrEMBL,Acyl-CoA N-acyltransferase ,41
5912,A0A024S691,TrEMBL,Acyl-CoA N-acyltransferase ,41
5913,A0A136IVB8,TrEMBL,GNAT domain-domain-containing protein ,41
5914,A0A0M8N4Z9,TrEMBL,Putative N-acetyltransferase p20 ,41
5915,A0A0A1TEX8,TrEMBL,Uncharacterized protein ,41
5916,A0A0B2WTV1,TrEMBL,Acyl-CoA N-acyltransferase ,41
5917,A0A1Y2U5P6,TrEMBL,Acyl-CoA N-acyltransferase ,41
5918,A0A179ICS8,TrEMBL,Uncharacterized protein ,41
5919,A0A136IWG7,TrEMBL,GNAT domain-domain-containing protein ,41
5920,A0A0B7K4S0,TrEMBL,Uncharacterized protein ,41
5921,E9E3N7,TrEMBL,Uncharacterized protein ,41
5922,A0A1V1T0L1,TrEMBL,Uncharacterized protein ,41
5923,A0A1J7JEY3,TrEMBL,Acyl-CoA N-acyltransferase ,41
5924,A0A169YJ38,TrEMBL,Acyl-CoA N-acyltransferase ,41
5925,A0A139AL30,TrEMBL,Acyl-CoA N-acyltransferase ,41
5926,A0A1V1TUD0,TrEMBL,Uncharacterized protein ,41
5927,A0A1Y2TEA5,TrEMBL,Acyl-CoA N-acyltransferase ,41
5928,A0A179GLY1,TrEMBL,GCN5-related N-acetyltransferase (GNAT) domain-containingprotein ,41
5929,A0A1V1TJX4,TrEMBL,Uncharacterized protein ,41
5930,A0A179GV55,TrEMBL,GCN5-related N-acetyltransferase (GNAT) domain-containingprotein ,41
5931,R8BNA5,TrEMBL,Putative acyl-n-acyltransferase protein ,41
5932,M7SR88,TrEMBL,Putative acyl-n-acyltransferase protein ,41
5933,A0A0B7K5L2,TrEMBL,Uncharacterized protein ,41
5934,Q0CA67,TrEMBL,Uncharacterized protein ,41
5935,A0A0C4E3V3,TrEMBL,Uncharacterized protein ,41
5936,A0A175VYQ8,TrEMBL,Putative GMP synthase [glutamine-hydrolyzing] ,41
5937,A0A1Y2DD83,TrEMBL,GNAT domain-domain-containing protein ,41
5938,G9MYM9,TrEMBL,Uncharacterized protein ,41
5939,S3CC04,TrEMBL,Acyl-n-acyltransferase ,41
5940,A0A151GY67,TrEMBL,Uncharacterized protein ,41
5941,A0A0D2Y4J4,TrEMBL,Uncharacterized protein ,41
5942,A0A175WHD6,TrEMBL,Arginine--tRNA ligase,41
5943,A0A168G4I8,TrEMBL,Acyl-CoA N-acyltransferase ,41
5944,A0A1V6T8F0,TrEMBL,Uncharacterized protein ,41
5946,L7JDA9,TrEMBL,Uncharacterized protein ,41
5947,A0A1B8B549,TrEMBL,Uncharacterized protein ,41
5948,A0A093X3E6,TrEMBL,Uncharacterized protein ,41
5949,A0A0A1TKB1,TrEMBL,Uncharacterized protein ,41
5950,A0A086TAQ1,TrEMBL,Putative N-acetyltransferase-like protein ,41
5951,W9I0I6,TrEMBL,Uncharacterized protein ,41
5952,M7TAA3,TrEMBL,Putative n-gnat protein ,41
5953,A0A1W2TKI1,TrEMBL,Putative acyl-N-acyltransferase ,41
5954,A0A1F5LWT4,TrEMBL,Uncharacterized protein ,41
5955,B2AAF0,TrEMBL,Podospora anserina S mat+ genomic DNA chromosome 1,41
5956,A0A1W2TGL8,TrEMBL,Putative acyl-N-acyltransferase ,41
5957,A0A024SN90,TrEMBL,Acyl-CoA N-acyltransferase ,41
5959,A0A1Y2X5N5,TrEMBL,Uncharacterized protein ,41
5960,U1HN04,TrEMBL,Uncharacterized protein ,42
5961,A0A177DUW5,TrEMBL,Acyl-CoA N-acyltransferase ,42
5962,D4B3S9,TrEMBL,Acetyltransferase,42
5963,A0A225A7J0,TrEMBL,Uncharacterized protein ,42
5964,F0XDR9,TrEMBL,Gcn5-related n-acetyltransferase ,42
5965,A0A0U1LL69,TrEMBL,Uncharacterized protein ,42
5966,F0XBW6,TrEMBL,Gcn5-related n-acetyltransferase ,42
5967,A0A1E1KCY6,TrEMBL,Related to acetyltransferase,42
5968,A0A1Z5TAH4,TrEMBL,Uncharacterized protein ,42
5969,A0A1V8TTW3,TrEMBL,Uncharacterized protein ,42
5970,A0A232M785,TrEMBL,Uncharacterized protein ,42
5971,A0A1E4TFN5,TrEMBL,Uncharacterized protein ,42
5972,A0A1L9S0V5,TrEMBL,Uncharacterized protein ,42
5973,A0A1L9X6R8,TrEMBL,Uncharacterized protein ,42
5974,A0A1G4AVI1,TrEMBL,Uncharacterized protein ,42
5975,Q0CZT8,TrEMBL,Uncharacterized protein ,42
